Log file created at: 2023/08/21 15:46:36
Running on machine: gpm-AGV
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0821 15:46:36.396052  5174 battery_inner.cpp:303] [battery] Version:V.1.1.1
I0821 15:46:36.483827  5174 battery_inner.cpp:269] ID, Level(%), Voltage(mV), ChargeCurrent(mA), DischargeCurrent(mA), Temperature(C)
I0821 15:46:36.483852  5174 battery_inner.cpp:271] Serial Number: 20220811001005, 20220811001005
I0821 15:46:36.483870  5174 battery_inner.cpp:286] 0, 86, 256, 0, 320, 27
I0821 15:46:36.483878  5174 battery_inner.cpp:286] 1, 86, 25653, 0, 3330, 28
I0821 15:46:36.483886  5174 battery_inner.cpp:286] 2, 86, 25649, 0, 3170, 26
I0821 15:46:37.479979  5174 battery_inner.cpp:286] 0, 86, 256, 0, 380, 27
I0821 15:46:37.479996  5174 battery_inner.cpp:286] 1, 86, 25627, 0, 3920, 28
I0821 15:46:37.480002  5174 battery_inner.cpp:286] 2, 86, 25641, 0, 3670, 26
I0821 15:46:38.481976  5174 battery_inner.cpp:286] 0, 86, 256, 0, 360, 27
I0821 15:46:38.482007  5174 battery_inner.cpp:286] 1, 86, 25634, 0, 3700, 28
I0821 15:46:38.482014  5174 battery_inner.cpp:286] 2, 86, 25633, 0, 3450, 26
I0821 15:46:39.480108  5174 battery_inner.cpp:286] 0, 86, 256, 0, 390, 27
I0821 15:46:39.480126  5174 battery_inner.cpp:286] 1, 86, 25619, 0, 3980, 28
I0821 15:46:39.480131  5174 battery_inner.cpp:286] 2, 86, 25618, 0, 3820, 26
I0821 15:46:40.479885  5174 battery_inner.cpp:286] 0, 86, 256, 0, 340, 27
I0821 15:46:40.479915  5174 battery_inner.cpp:286] 1, 86, 25647, 0, 3430, 28
I0821 15:46:40.479928  5174 battery_inner.cpp:286] 2, 86, 25639, 0, 3310, 26
I0821 15:46:41.479975  5174 battery_inner.cpp:286] 0, 86, 256, 0, 360, 27
I0821 15:46:41.479993  5174 battery_inner.cpp:286] 1, 86, 25637, 0, 3630, 28
I0821 15:46:41.479998  5174 battery_inner.cpp:286] 2, 86, 25634, 0, 3500, 26
I0821 15:46:42.478996  5174 battery_inner.cpp:286] 0, 86, 256, 0, 360, 27
I0821 15:46:42.479033  5174 battery_inner.cpp:286] 1, 86, 25634, 0, 3710, 28
I0821 15:46:42.479053  5174 battery_inner.cpp:286] 2, 86, 25632, 0, 3560, 26
I0821 15:46:43.479995  5174 battery_inner.cpp:286] 0, 86, 256, 0, 340, 27
I0821 15:46:43.480020  5174 battery_inner.cpp:286] 1, 86, 25644, 0, 3500, 28
I0821 15:46:43.480027  5174 battery_inner.cpp:286] 2, 86, 25641, 0, 3350, 26
I0821 15:46:44.480177  5174 battery_inner.cpp:286] 0, 86, 256, 0, 350, 27
I0821 15:46:44.480248  5174 battery_inner.cpp:286] 1, 86, 25645, 0, 3700, 28
I0821 15:46:44.480270  5174 battery_inner.cpp:286] 2, 86, 25630, 0, 3350, 26
I0821 15:46:45.479975  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:46:45.480016  5174 battery_inner.cpp:286] 1, 86, 25628, 0, 3790, 28
I0821 15:46:45.480022  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3620, 26
I0821 15:46:46.479940  5174 battery_inner.cpp:286] 0, 86, 256, 0, 360, 27
I0821 15:46:46.479970  5174 battery_inner.cpp:286] 1, 86, 25642, 0, 3600, 28
I0821 15:46:46.479977  5174 battery_inner.cpp:286] 2, 86, 25636, 0, 3410, 26
I0821 15:46:47.480141  5174 battery_inner.cpp:286] 0, 86, 256, 0, 350, 27
I0821 15:46:47.480217  5174 battery_inner.cpp:286] 1, 86, 25641, 0, 3560, 28
I0821 15:46:47.480222  5174 battery_inner.cpp:286] 2, 86, 25632, 0, 3530, 26
I0821 15:46:48.479998  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:46:48.480022  5174 battery_inner.cpp:286] 1, 86, 25631, 0, 3750, 28
I0821 15:46:48.480027  5174 battery_inner.cpp:286] 2, 86, 25633, 0, 3640, 26
I0821 15:46:49.480048  5174 battery_inner.cpp:286] 0, 86, 256, 0, 340, 27
I0821 15:46:49.480072  5174 battery_inner.cpp:286] 1, 86, 25644, 0, 3510, 28
I0821 15:46:49.480078  5174 battery_inner.cpp:286] 2, 86, 25639, 0, 3390, 26
I0821 15:46:50.480111  5174 battery_inner.cpp:286] 0, 86, 256, 0, 350, 27
I0821 15:46:50.480146  5174 battery_inner.cpp:286] 1, 86, 25642, 0, 3530, 28
I0821 15:46:50.480170  5174 battery_inner.cpp:286] 2, 86, 25639, 0, 3420, 26
I0821 15:46:51.479995  5174 battery_inner.cpp:286] 0, 86, 256, 0, 350, 27
I0821 15:46:51.480017  5174 battery_inner.cpp:286] 1, 86, 25631, 0, 3780, 28
I0821 15:46:51.480027  5174 battery_inner.cpp:286] 2, 86, 25639, 0, 3420, 26
I0821 15:46:52.480156  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:46:52.480291  5174 battery_inner.cpp:286] 1, 86, 25632, 0, 3790, 28
I0821 15:46:52.480319  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3630, 26
I0821 15:46:53.480032  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:46:53.480077  5174 battery_inner.cpp:286] 1, 86, 25631, 0, 3780, 28
I0821 15:46:53.480137  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3640, 26
I0821 15:46:54.480105  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:46:54.480180  5174 battery_inner.cpp:286] 1, 86, 25632, 0, 3760, 28
I0821 15:46:54.480196  5174 battery_inner.cpp:286] 2, 86, 25627, 0, 3610, 26
I0821 15:46:55.479951  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:46:55.480075  5174 battery_inner.cpp:286] 1, 86, 25631, 0, 3750, 28
I0821 15:46:55.480084  5174 battery_inner.cpp:286] 2, 86, 25628, 0, 3610, 26
I0821 15:46:56.479970  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:46:56.480037  5174 battery_inner.cpp:286] 1, 86, 25631, 0, 3730, 28
I0821 15:46:56.480046  5174 battery_inner.cpp:286] 2, 86, 25627, 0, 3610, 26
I0821 15:46:57.480105  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:46:57.480208  5174 battery_inner.cpp:286] 1, 86, 25631, 0, 3780, 28
I0821 15:46:57.480222  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3650, 26
I0821 15:46:58.480134  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:46:58.480237  5174 battery_inner.cpp:286] 1, 86, 25630, 0, 3770, 28
I0821 15:46:58.480252  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3630, 26
I0821 15:46:59.480057  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:46:59.480141  5174 battery_inner.cpp:286] 1, 86, 25631, 0, 3770, 28
I0821 15:46:59.480149  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3640, 26
I0821 15:47:00.480055  5174 battery_inner.cpp:286] 0, 86, 256, 0, 380, 27
I0821 15:47:00.480190  5174 battery_inner.cpp:286] 1, 86, 25628, 0, 3830, 28
I0821 15:47:00.480203  5174 battery_inner.cpp:286] 2, 86, 25627, 0, 3730, 26
I0821 15:47:01.480058  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:47:01.480201  5174 battery_inner.cpp:286] 1, 86, 25630, 0, 3770, 28
I0821 15:47:01.480221  5174 battery_inner.cpp:286] 2, 86, 25625, 0, 3640, 26
I0821 15:47:02.479966  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:47:02.480052  5174 battery_inner.cpp:286] 1, 86, 25629, 0, 3780, 28
I0821 15:47:02.480063  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3670, 26
I0821 15:47:03.480005  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:47:03.480130  5174 battery_inner.cpp:286] 1, 86, 25630, 0, 3780, 28
I0821 15:47:03.480144  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3630, 26
I0821 15:47:04.480141  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:47:04.480255  5174 battery_inner.cpp:286] 1, 86, 25631, 0, 3760, 28
I0821 15:47:04.480264  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3640, 26
I0821 15:47:05.479954  5174 battery_inner.cpp:286] 0, 86, 256, 0, 380, 27
I0821 15:47:05.480078  5174 battery_inner.cpp:286] 1, 86, 25629, 0, 3820, 28
I0821 15:47:05.480120  5174 battery_inner.cpp:286] 2, 86, 25625, 0, 3690, 26
I0821 15:47:06.480023  5174 battery_inner.cpp:286] 0, 86, 256, 0, 370, 27
I0821 15:47:06.480073  5174 battery_inner.cpp:286] 1, 86, 25629, 0, 3760, 28
I0821 15:47:06.480082  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3650, 26
I0821 15:47:07.480162  5174 battery_inner.cpp:286] 0, 86, 256, 0, 380, 27
I0821 15:47:07.480259  5174 battery_inner.cpp:286] 1, 86, 25631, 0, 3770, 28
I0821 15:47:07.480302  5174 battery_inner.cpp:286] 2, 86, 25626, 0, 3680, 26
I0821 15:47:10.953562  5174 battery_inner.cpp:286] 0, 86, 256, 0, 380, 27
I0821 15:47:10.954385  5174 battery_inner.cpp:286] 1, 86, 25619, 0, 4370, 28
I0821 15:47:10.954401  5174 battery_inner.cpp:286] 2, 86, 25609, 0, 4530, 26
I0821 15:47:11.038456  5174 battery_inner.cpp:286] 0, 86, 256, 0, 440, 27
I0821 15:47:11.038499  5174 battery_inner.cpp:286] 1, 86, 25619, 0, 4370, 28
I0821 15:47:11.038508  5174 battery_inner.cpp:286] 2, 86, 25609, 0, 4530, 26
I0821 15:47:12.038713  5174 battery_inner.cpp:286] 0, 86, 256, 0, 420, 27
